,Unnamed: 0.1,Unnamed: 0,SMILES_Solute,Temperature_K,Solvent,SMILES_Solvent,Solubility(mole_fraction),Solubility(mol/L),LogS(mol/L),Compound_Name,CAS,PubChem_CID,FDA_Approved,Source,IONIZABLE,SMILES_standard
85,85,573,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,298.15,water,O,8.88e-06,0.0004914728072427,-3.30850050629804,Dienogest,65928-58-7,68861.0,Yes,10.1021/acs.jced.9b00696,Non-ionizable,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N
86,86,593,OC[C@@H](O)C(O)[C@@H](O)CO,298.3,water,O,0.1797,12.1109706842396,1.08317895288001,Xylitol,488-81-3,6912.0,No,10.1021/je060348v,Non-ionizable,OC[C@@H](O)C(O)[C@@H](O)CO
87,87,604,C[C@@]12C[C@H]3OC(=O)[C@@H]1CO[C@]14O[C@@]5([C@H]2C1=O)[C@@]3(C)OC(=O)[C@@]5(O)CC[C@H]1[C@H]4C[C@@H](O)[C@@]2(O)CC=CC(=O)[C@]12C,298.2,water,O,0.0027,0.14967884163918,-0.824839586489199,Physalin D,54980-22-2,70698073.0,No,10.1021/je100227k,Non-ionizable,C[C@@]12C[C@H]3OC(=O)[C@@H]1CO[C@]14O[C@@]5([C@H]2C1=O)[C@@]3(C)OC(=O)[C@@]5(O)CC[C@H]1[C@H]4C[C@@H](O)[C@@]2(O)CC=CC(=O)[C@]12C
88,88,610,O=P1(Oc2ccccc2)OCC2(CO1)COP(=O)(Oc1ccccc1)OC2,298.77,water,O,0.0002,0.0110568571453745,-1.95636830145711,"3,9-diphenoxy-2,4,8,10-tetraoxa-3,9-diphosphaspiro-[5.5]-undecane-3,9-dioxide",,10949663.0,No,10.1021/je100341q,Non-ionizable,O=P1(Oc2ccccc2)OCC2(CO1)COP(=O)(Oc1ccccc1)OC2
89,89,614,COC(=O)/C=C/C(=O)OC,300.55,water,O,9.273e-05,0.0051293222698642,-2.28994001381651,Dimethyl fumarate,624-49-7,637568.0,Yes,10.1021/je100964a,Non-ionizable,COC(=O)/C=C/C(=O)OC
90,90,616,O=[PH](O)c1ccccc1,297.79,water,O,0.0095,0.530357845411851,-0.275431002387165,Phenylphosphinic acid,1779-48-2,6327116.0,No,10.1021/je1009812,Non-ionizable,O=[PH](O)c1ccccc1
91,91,620,C[C@H]1[C@H](C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@H]12,298.15,water,O,1.9e-06,0.0001051567360176,-3.97816290251564,Asiaticoside,16830-15-2,11954171.0,No,10.1021/je101208p,Non-ionizable,C[C@H]1[C@H](C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@H]12
92,92,638,CC1(C)COP(=O)(C(C)(C)O)OC1,298.25,water,O,0.00711,0.396312771314454,-0.40196193215225,"1,3,2-dioxaphosphorinane-2-methanol-a,a-5,5-tetramethyl 2-oxide",,54110956.0,No,10.1021/je4003114,Non-ionizable,CC1(C)COP(=O)(C(C)(C)O)OC1
93,93,646,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,298.15,water,O,0.0436626,2.52685967280859,0.402581124382487,Trehalose,99-20-7,7427.0,No,10.1021/je5000428,Non-ionizable,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
94,94,707,CC1(C)COC(=O)[C@@H]1O,298.15,water,O,0.2381,17.2959369401554,1.2379440932031,D-pantolactone,599-04-2,439368.0,No,10.1021/je500996n,Non-ionizable,CC1(C)COC(=O)[C@@H]1O
95,95,712,CC(C)(O)P1(=O)OCC2(CO1)COP(=O)(C(C)(C)O)OC2,298.01,water,O,0.005852,0.325470487537383,-0.487488385531267,"2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane-3,9-dimethanol, a,a,a,a-tetramethyl-3,9-dioxide",66063-49-8,15994036.0,No,10.1021/je700050r,Non-ionizable,CC(C)(O)P1(=O)OCC2(CO1)COP(=O)(C(C)(C)O)OC2
96,96,713,CCCCCC1CCC(=O)O1,323.15,water,O,0.00072,0.039517145100509,-1.4032144383729,<U+03B3>-Nonalactone,104-61-0,7710.0,No,10.1021/je700122y,Non-ionizable,CCCCCC1CCC(=O)O1
97,97,714,CCCCCC=O,353.15,water,O,0.000591,0.0318993904248368,-1.496217615929,Hexanal,66-25-1,6184.0,No,10.1021/je700122y,Non-ionizable,CCCCCC=O
98,98,715,O=CCc1ccccc1,323.15,water,O,0.0018,0.0988997514426884,-1.00480479988113,Phenylethanal,122-78-1,998.0,No,10.1021/je700122y,Non-ionizable,O=CCc1ccccc1
99,99,716,O=Cc1ccccc1,353.15,water,O,0.00236,0.12760753179335,-0.894123691447488,Benzaldehyde,100-52-7,240.0,No,10.1021/je700122y,Non-ionizable,O=Cc1ccccc1
100,100,717,O=Cc1ccco1,353.15,water,O,0.028,1.55392454161998,0.191429925691585,2-Furfural,98-01-1,7362.0,No,10.1021/je700122y,Non-ionizable,O=Cc1ccco1
101,101,718,OCCc1ccccc1,333.15,water,O,0.0051,0.279768200001523,-0.553201651347857,2-Phenylethanol,60-12-8,6054.0,No,10.1021/je700122y,Non-ionizable,OCCc1ccccc1
102,102,735,O=c1[nH]cc(Br)c(=O)[nH]1,298.15,water,O,0.000272,0.0150580841419341,-1.82223028042715,5-bromouracil,51-20-7,5802.0,No,10.1021/je800029c,Non-ionizable,O=c1[nH]cc(Br)c(=O)[nH]1
103,103,736,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,298.15,water,O,0.002682,0.148835930672141,-0.827292212547263,5-(trifluoromethyl)uracil,54-20-6,5899.0,No,10.1021/je800029c,Non-ionizable,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1
104,104,737,O=c1[nH]cc(Cl)c(=O)[nH]1,298.15,water,O,0.000308,0.0170516798940935,-1.76823282882421,5-chlorouracil,1820-81-1,15758.0,No,10.1021/je800029c,Non-ionizable,O=c1[nH]cc(Cl)c(=O)[nH]1
105,105,738,O=c1[nH]cc(F)c(=O)[nH]1,298.15,water,O,0.002484,0.137820681293399,-0.860685607554169,5-fluorouracil,51-21-8,3385.0,Yes,10.1021/je800029c,Non-ionizable,O=c1[nH]cc(F)c(=O)[nH]1
106,106,739,O=c1[nH]cc(I)c(=O)[nH]1,298.15,water,O,0.000373,0.0206515914699297,-1.68504647475933,5-iodouracil,696-07-1,69672.0,No,10.1021/je800029c,Non-ionizable,O=c1[nH]cc(I)c(=O)[nH]1
107,107,740,O=c1cc(Cl)[nH]c(=O)[nH]1,298.15,water,O,0.000603,0.033393500144034,-1.47633805792758,6-chlorouracil,4270-27-3,73272.0,No,10.1021/je800029c,Non-ionizable,O=c1cc(Cl)[nH]c(=O)[nH]1
108,108,741,O=c1cc[nH]c(=O)[nH]1,298.15,water,O,0.000743,0.0411523163875622,-1.38560571413281,Uracil,66-22-8,1174.0,No,10.1021/je800029c,Non-ionizable,O=c1cc[nH]c(=O)[nH]1
109,109,759,CC(C)Br,300.15,water,O,0.0008204,0.045418610748269,-1.34276615399097,2-bromopropane,75-26-3,6358.0,No,10.1021/je800796h,Non-ionizable,CC(C)Br
110,110,760,NC(N)=S,296.65,water,O,0.03467,1.98848282556857,0.298521844357447,Thiourea,62-56-6,2723790.0,No,10.1021/je800796h,Non-ionizable,NC(N)=S
111,111,766,CCc1occc(=O)c1O,298.15,water,O,0.0023,0.127588207248028,-0.894189464829493,Ethyl maltol,4940-11-8,21059.0,No,10.1021/je9000729,Non-ionizable,CCc1occc(=O)c1O
112,112,768,Cn1[nH]c(=O)c(=O)[nH]c1=S,298.15,water,O,0.001582,0.0876953868914044,-1.05702325156328,Thiotriazinone,58909-39-0,3034640.0,No,10.1021/je900177h,Non-ionizable,Cn1[nH]c(=O)c(=O)[nH]c1=S
113,113,771,CP1(=O)OCC2(CO1)COP(C)(=O)OC2,298.45,water,O,0.06203,3.65982784152018,0.563460656641322,"3,9-dimethyl-3,9-dioxide-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane",3001-98-7,76350.0,No,10.1021/je9004189,Non-ionizable,CP1(=O)OCC2(CO1)COP(C)(=O)OC2
114,114,780,CC(N)=O,298.15,water,O,0.4431,44.0359331251012,1.64380720351309,Acetamide,60-35-5,178.0,No,10.1021/je9007475,Non-ionizable,CC(N)=O
115,115,781,CCC(N)=O,298.15,water,O,0.2757,21.0669154507099,1.32360095227629,Propionamide,79-05-0,6578.0,No,10.1021/je9007475,Non-ionizable,CCC(N)=O
116,116,782,CCCC(N)=O,298.15,water,O,0.0442,2.55939852034444,0.408137914535551,Butyramide,541-35-5,10927.0,No,10.1021/je9007475,Non-ionizable,CCCC(N)=O
117,117,784,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,298.15,water,O,0.01463,0.82172719779635,-0.0852723383672593,Sucralose,56038-13-2,71485.0,No,10.1021/je9008427,Non-ionizable,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl
118,118,798,C=CCC,298.15,water,O,7.971e-05,0.0044119450982919,-2.35536990050591,1-butene,106-98-9,7844.0,No,10.1023/a:1025313916280,Non-ionizable,C=CCC
