ID,Solubility,SMILEScurated,SD,Group,Dataset,Composition,Error,Charge
A-4116,-0.785923914,OCCC1=CC=CC=C1,0.042284079,G5,A,mono-constituent,None,Uncharged
A-4119,-0.633922712,CC(=O)OC=C,0,G1,A,mono-constituent,None,Uncharged
A-4123,-0.774965627,OC1=CC=CC=C1C#N,0.095408242,G5,A,mono-constituent,None,Uncharged
A-4124,-1.305537302,NC1=C2C(=O)C3=CC=CC=C3C(=O)C2=C(Br)C=C1S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4125,-0.563427685,C[Si](C)C,0.651603458,G2,A,None,None,Uncharged
A-4126,-1.405240463,O=C1OC(=O)C2=CC=CC=C12,0,G1,A,None,Cosolvent Buffer,Uncharged
A-4127,-2.526815423,[Na+].[Na+].[Fe].NC1=CC=C(C=C1)[N+]([O-])=O.NC1=CC=CC(=C1)S([O-])(=O)=O.NC1=CC=C(NC2=CC=CC=C2)C(=C1)S([O-])(=O)=O.[O-]C1=CC(=O)C=CC1=NNC1=CC(=CC(=C1[O-])[N+]([O-])=O)[N+]([O-])=O,0,G1,A,UVCB,Multi-constituent Substances,Zwitterion
A-4128,-1.619929844,[O-]C(=O)C1=CC=CC=C1,0.045222606,G5,A,mono-constituent,None,Negative
A-4130,-1.587161122,[O-]C1=CC(=O)NC=N1,0.264027189,G5,A,mono-constituent,Non Valid pH,Negative
A-4132,-1.673119803,O=COCC1=CC=CC=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4133,-1.54996066,CCCCOCC,0,G1,A,mono-constituent,None,Uncharged
A-4136,-2.2216331,CCOC(=O)C(=N[N-]C1=CC=C(C=C1)[N+]([O-])=O)C(=O)C1=NN2C(S1)=NC(=O)C1=CC=CC=C21,0,G1,A,None,None,Negative
A-4138,-1.842241499,CC1=CC=CC=C1NC(=[NH2+])[NH+]=C(N)N,0,G1,A,mono-constituent,None,Positive
A-4142,-1.799728458,CC(C)(O)C1CCC(C)(O1)C=C,0,G1,A,multi-constituent,Non Valid pH,Uncharged
A-4143,-1.850192261,CC(=O)CC(=O)NC1=CC=CC=C1C,0.022878745,G3,A,mono-constituent,None,Uncharged
A-4144,-1.809694359,CC(C)C(NC(N)=O)NC(N)=O,0.477121255,G3,A,mono-constituent,None,Uncharged
A-4145,-0.922963209,FC(F)CCl,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4146,-1.863533046,CC(C)(O)C1=CC(=CC=C1)C(C)(C)O,0.033240029,G3,A,mono-constituent,None,Uncharged
A-4147,-1.706127176,CCC1=CC=CC(C)=C1N,0.065710432,G3,A,mono-constituent,None,Uncharged
A-4149,-1.715687645,[O-]S([O-])(=O)=O,0.024468842,G5,A,mono-constituent,None,Negative
A-4151,-1.901477183,COC1=CC=C(NC(=O)CC(C)=O)C=C1,0,G1,A,mono-constituent,None,Uncharged
A-4152,-1.805450609,CC1OCC(O1)C1=CC=CC=C1,0,G1,A,multi-constituent,Non Valid pH,Uncharged
A-4153,-1.772587094,CCCC1CC(C)=CC(=O)C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4154,-1.799017293,CC(=O)OC1=CC=C(C=C1)C#N,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4156,-1.446331686,[O-]C(=O)CCC(N1C(=O)C2=CC=CC=C2C1=O)C([O-])=O,0,G1,A,mono-constituent,None,Negative
A-4157,-5.495255436,CC(C)C1CCC(C)=CC1,0,G1,A,None,None,Uncharged
A-4158,-1.588580927,ClC(Cl)=C,0.022859537,G3,A,mono-constituent,None,Uncharged
A-4162,-1.78824369,CC(C)C1CCC(C)=CC1=O,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4163,-1.944045108,CC1(C)SC2C([NH3+])C(=O)N2C1C([O-])=O,0,G1,A,mono-constituent,None,Zwitterion
A-4165,-5.465370193,CCCCCCCC[NH+](C)C,0,G1,A,None,None,Positive
A-4167,-1.780035133,[S-]C1=CC=CC=C1Cl,0.439450989,G5,A,mono-constituent,None,Negative
A-4169,-1.763159597,NC1=NC=CN=C1C([O-])=O,0,G1,A,mono-constituent,None,Negative
A-4170,-1.849355422,C[NH+](C)CC1=CC=CC=C1Cl,0.856605222,G2,A,mono-constituent,None,Positive
A-4171,-2.46167357,CCOP([O-])(=O)CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,0,G1,A,mono-constituent,None,Negative
A-4175,-2.06526472,C=CCOC(=O)OCCOCCOC(=O)OCC=C,0,G1,A,mono-constituent,None,Uncharged
A-4176,-1.744232864,OCCCCCCC=C,0.016080929,G3,A,mono-constituent,None,Uncharged
A-4178,-1.88532188,ClS(=O)(=O)C1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-4179,-2.006358589,CC(C)C1CCC(C)CC1OCC(O)CO,0,G1,A,multi-constituent,None,Uncharged
A-4180,-1.826243245,COC1=CC=C(C=O)C=C1O,0,G1,A,mono-constituent,Cosolvent Buffer,Uncharged
A-4181,-1.723701533,CC1=CC=C(C=O)C=C1,0.479042924,G3,A,mono-constituent,None,Uncharged
A-4182,-1.833764651,NC1=CC=C(O)C=C1[N+]([O-])=O,0,G1,A,mono-constituent,None,PureChargeSeparation
A-4184,-1.802914236,[O-]C1=CC=CC=C1[N+]([O-])=O,0.032277333,G5,A,mono-constituent,None,Negative
A-4185,-1.844063724,CC1CC(C)=CC(C)C1C=O,0,G1,A,multi-constituent,None,Uncharged
A-4186,-1.85529404,CCCCCC1CCC(=O)O1,0,G1,A,None,None,Uncharged
A-4188,-1.918544784,CC(=O)COC1=C(C)C=CC=C1C,0,G1,A,mono-constituent,None,Uncharged
A-4189,-1.858869039,COC1=CC=C(OC)C(N)=C1,0,G1,A,mono-constituent,None,Uncharged
A-4192,-1.990078682,CC(=O)CC(=O)NC1=CC=C(C)C=C1C,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4193,-1.931164755,COC1=CC=C(C)C=C1NC(C)=O,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4197,-1.925085284,CC1=CC(=O)N(N1)C1=CC=CC=C1,0.058499473,G3,A,mono-constituent,None,Uncharged
A-4198,-1.750124429,CCCCCCC=O,0.112949851,G5,A,mono-constituent,None,Uncharged
A-4200,-1.804593715,CC(C)(C)OC(=O)C=C,0.194691103,G3,A,mono-constituent,None,Uncharged
A-4202,1.630235126,CC(O)C(=O)N(C)C,0,G1,A,mono-constituent,None,Uncharged
A-4203,1.700915909,[NH4+].OCC([O-])=O,0,G1,A,mono-constituent,None,Zwitterion
A-4204,-2.233440337,[O-]C(=O)C1=CC=CC2=CC=CC(C3=CC=CC4=CC=CC(C([O-])=O)=C34)=C12,0,G1,A,mono-constituent,Non Valid pH,Negative
A-4205,-1.806759777,CC(C)COC(=O)C=C,0.292697117,G5,A,mono-constituent,None,Uncharged
A-4206,-1.86983286,CC(CC=O)C1=CC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-4207,-1.789422053,CC1=CC(O)=CC=C1N,0.07745098,G3,A,mono-constituent,None,Uncharged
A-4211,-1.914237348,COC(=O)C(=O)C1=CC=CC=C1,1.497839313,G2,A,mono-constituent,Non Valid pH,Uncharged
A-4215,-0.460354084,NC1=CC2=CC(=C(N=NC3=CC=C(C=C3)N=NC3=CC=C(C=C3)S([O-])(=O)=O)C(O)=C2C=C1)S([O-])(=O)=O,0,G1,A,None,None,Negative
A-4216,0.018846252,COC1=CC(C[NH3+])=CC=C1O,0,G1,A,mono-constituent,None,Positive
A-4217,-0.550169975,CC1=NN(C(=O)C1N=NC1=CC(NC(=O)C(Br)=C)=CC=C1S([O-])(=O)=O)C1=CC(Cl)=C(C=C1Cl)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4218,-0.879554019,[O-]S(=O)(=O)C1=CC=C(NC2=NC(NCCNC3=C(C4=C(C=C3)N=C3C(Cl)=C5OC6=C(C(NCCNC7=NC(NC8=CC=C(C=C8S([O-])(=O)=O)S([O-])(=O)=O)=NC(Cl)=N7)=CC=C6N=C5C(Cl)=C3O4)S([O-])(=O)=O)S([O-])(=O)=O)=NC(Cl)=N2)C(=C1)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4221,0.862920127,OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0,G1,A,UVCB,Cosolvent Buffer,Negative
A-4223,0.192772727,CC1=C(O)C=CC=C1O,0.066813637,G3,A,mono-constituent,None,Uncharged
A-4224,0.351057238,CC(C)(O)C=C,0.356871381,G3,A,mono-constituent,None,Uncharged
A-4225,0.084622153,[O-]C(=O)CCCCC([O-])=O,0.320737711,G5,A,mono-constituent,None,Negative
A-4226,-0.047347893,[O-]C(=O)CCCCCCCCC([O-])=O,0.320737711,G5,A,mono-constituent,None,Negative
A-4227,-0.017921985,[O-]C(=O)CCCCCCCC([O-])=O,0.320737711,G5,A,mono-constituent,None,Negative
A-4228,-0.635904616,NC1=CC2=CC(=C(N=NC3=CC=C(C=C3)N=NC3=CC=C(C=C3)S([O-])(=O)=O)C(O)=C2C=C1)S([O-])(=O)=O,0,G1,A,mono-constituent,Cosolvent Buffer,Negative
A-4232,-1.578382357,[O-]S(=O)(=O)OCCS(=O)(=O)C1=CC=C(NN=C2C(=O)C3=CC=C(NC4=NC(Cl)=NC(Cl)=N4)C=C3C=C2S([O-])(=O)=O)C=C1,0,G1,A,mono-constituent,None,Negative
A-4236,-0.64043406,CC[NH+](CC)CCCNC1=NC(NC2=CC3=CC(=C(N=NC4=CC=C5NC(=O)NC5=C4)C(O)=C3C=C2)S([O-])(=O)=O)=NC(NCCC[NH+](CC)CC)=[NH+]1,0,G1,A,None,Cosolvent Buffer,Zwitterion
A-4237,-0.057823856,[O-]S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4238,-4.879551326,COC1=CC(NC2=C(C=NC3=CC(OCCCN4CC[NH+](C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl,0.183988393,G3,A,mono-constituent,None,Positive
A-4240,0.495819462,CC=NO,0,G1,A,mono-constituent,None,Uncharged
A-4241,1.32370627,[Br-],0,G1,A,mono-constituent,None,Negative
A-4242,-0.016848465,CCC(OCCCOC)OC(C)=O,0.012674232,G3,A,None,None,Uncharged
A-4244,0.018292129,[O-]S(=O)S([O-])=O,0,G1,A,mono-constituent,None,Negative
A-4246,0.412016319,CC=CC=O,0,G1,A,None,None,Uncharged
A-4248,0.397295078,CC1OC1C,0,G1,A,mono-constituent,None,Uncharged
A-4249,-0.13619896,CCCCCCCCCOS([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4250,-1.390984611,CCNC1=CC2=[O+]C3=CC(NCC)=C(C)C=C3C(C3=CC=CC=C3C(=O)OC)=C2C=C1C,0,G1,A,mono-constituent,Non Valid pH,Positive
A-4252,-0.860835326,CCOC1=CC=C(N)C=C1,0.012284096,G3,A,mono-constituent,None,Uncharged
A-4254,-2.175139595,ClC1=CC=CC=C1C(=O)CC#N,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4257,-1.063682205,CC(=O)CC(=O)OCCOC(=O)C(C)=C,0,G1,A,mono-constituent,None,Uncharged
A-4258,-0.862721053,O=C1OCC2=CC=CC=C12,0,G1,A,None,None,Uncharged
A-4259,-1.138788219,CC1=NN(C(=[NH2+])C1)C1=CC=CC(=C1)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Zwitterion
A-4260,-1.016982858,O=C1CCN(CC2=CC=CC=C2)CC1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4264,-0.805923544,COC(=O)C=C(C)N,0,G1,A,mono-constituent,Unstable,Uncharged
A-4265,-0.856665127,O=[Si]=O,0,G1,A,None,None,Uncharged
A-4267,-0.218413053,NC1=CC=C(C=C1)N(CCO)CCO,0,G1,A,mono-constituent,Cosolvent Buffer,Uncharged
A-4268,-0.289761762,[Zn++],0.046001339,G3,A,None,None,Uncharged
A-4269,0.352490659,[SH-],0,G1,A,None,None,Negative
A-4270,0.00053768,CC([O-])=O,0,G1,A,mono-constituent,None,Negative
A-4271,0.020110333,OC(C(F)(F)F)C(F)(F)F,0,G1,A,mono-constituent,None,Uncharged
A-4274,-0.689646011,[O-]C(=O)C1=CC(CCC1=O)([N-]C1=NC([N-]C2(CCC(=O)C(=C2)C([O-])=O)S([O-])(=O)=O)=[NH+]C([N-]C2(CCC(=O)C(=C2)C([O-])=O)S([O-])(=O)=O)=[NH+]1)S([O-])(=O)=O,0,G1,A,None,Wrong Ionization,Zwitterion
A-4276,0.121211094,[O-]C=O,0,G1,A,mono-constituent,None,Negative
A-4277,0.068474963,CC(=O)OCCOC(C)=O,0.01454904,G5,A,mono-constituent,None,Uncharged
A-4278,-0.563962397,NC1=C2C(=O)C3=CC=CC=C3C(=O)C2=C(NC2=CC=C(C=C2)S(=O)(=O)CCOS([O-])(=O)=O)C=C1S([O-])(=O)=O,0.010371746,G5,A,mono-constituent,None,Negative
A-4281,-1.045896296,O.O.O.[As+3].[As+3],0,G1,A,None,None,Uncharged
A-4282,-1.504668533,[O-]S(=O)(=O)C1=CC=CC=C1C=CC1=CC=C(C=C1)C1=CC=C(C=CC2=CC=CC=C2S([O-])(=O)=O)C=C1,0,G1,A,None,None,Negative
A-4283,-1.17979792,ClC(Cl)(Cl)C(=O)C(Cl)(Cl)Cl,0,G1,A,mono-constituent,None,Uncharged
A-4285,-1.087251192,CCCCOP([O-])(=O)OCCCC,0.009935162,G3,A,mono-constituent,None,Negative
A-4286,-0.531030497,COC=C,0.028452426,G3,A,mono-constituent,None,Uncharged
A-4287,-0.96747386,CCOCCOC(=O)C(C)=C,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4291,-0.985949247,CCOC(=O)C(Cl)C(C)=O,0.036711671,G5,A,mono-constituent,Non Valid pH,Uncharged
A-4293,-0.759001213,CCN1C([O-])=C(C(N)=O)C(C)=C(N=NC2=CC(NC3=NC(Cl)=NC(NC4=CC=C(C(NC5=NC(N)=NC(Cl)=N5)=C4)S([O-])(=O)=O)=N3)=C(C=C2S([O-])(=O)=O)S([O-])(=O)=O)C1=O,0,G1,A,None,None,Negative
A-4296,0.102111364,CC[NH+](CC)CC(C)O,0,G1,A,mono-constituent,Non Valid pH,Positive
A-4301,0.336339534,CC(N)=S,0,G1,A,mono-constituent,None,Uncharged
A-4303,0.083023239,COCC(C)OC(C)=O,0.123935385,G5,A,mono-constituent,None,Uncharged
A-4304,-0.623062478,COC1=CC(=C(C)C=C1NC(=O)C(=N[N-]C1=CC=C(C=C1)C1=NC2=CC=C(C)C(=C2S1)S([O-])(=O)=O)C(C)=O)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4305,-1.301635776,CCCCOCCOCCOCOCCOCCOCCCC,0,G1,A,mono-constituent,None,Uncharged
A-4306,-0.936025863,CC1OC(=O)C(C)OC1=O,0,G1,A,mono-constituent,None,Uncharged
A-4307,-0.889164102,ClCBr,1.5,G2,A,mono-constituent,None,Uncharged
A-4308,-0.913922317,NC(=O)C1=CC=CC=C1N,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4312,-0.785854804,CCC=CCCO,0.03535673,G3,A,mono-constituent,Non Valid pH,Uncharged
A-4316,-0.853333105,COC1CCC=CO1,0,G1,A,mono-constituent,None,Uncharged
A-4318,-0.111712583,CC1=NC=C(CO)C(CO)=C1O,0.070506291,G3,A,None,None,Uncharged
A-4321,-0.309433822,OC([O-])=O,0.030273456,G5,A,None,None,Negative
A-4322,-0.304510239,CCCCCCCCCC1=CC=C(OCCOCCO)C=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4323,1.106488088,NC(N)=[NH2+],0.203483255,G5,A,mono-constituent,Cosolvent Buffer,Positive
A-4324,-0.283881408,CCCCCCCCCCCCOS([O-])(=O)=O,0.15711494,G5,A,mono-constituent,None,Negative
A-4325,-1.102861926,CC(C)C(N1CCCNC1=O)C([O-])=O,0.008613258,G5,A,None,None,Negative
A-4326,-0.898693945,CC(=O)OC(C=C)C#N,0,G1,A,mono-constituent,None,Uncharged
A-4329,-0.864495868,CC1CCCCC1O,0,G1,A,multi-constituent,None,Uncharged
A-4334,-1.003417731,CC(O)COC1=CC=CC=C1,0.068791135,G3,A,mono-constituent,None,Uncharged
A-4335,-0.938741673,CN(CC([O-])=O)C(N)=[NH2+],0.00984007,G3,A,mono-constituent,None,Zwitterion
A-4336,-0.853925235,CC1=CC=CC=C1N,0.59859566,G4,A,mono-constituent,None,Uncharged
A-4337,-1.096509119,CCCCC(CC)COCCC[NH3+],0,G1,A,mono-constituent,None,Positive
A-4339,-0.759083357,CC(C)CC=O,0.055753489,G5,A,mono-constituent,None,Uncharged
A-4342,-0.107649886,[NH3+]C(CC1=CN=CN1)C([O-])=O,0,G1,A,None,None,Zwitterion
A-4344,-0.395423212,OP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O,0,G1,A,mono-constituent,None,Negative
A-4348,-0.132544773,OCC(O)C1OC(=O)C(O)=C1[O-],0,G1,A,mono-constituent,None,Negative
A-4349,0.043941678,COCCOC(=O)C=C,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4350,-0.19127437,NNC1=CC=C(C=C1)S(N)(=O)=O,0,G1,A,None,None,Uncharged
A-4351,0.212431567,CN(C)C(N)=O,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4352,-0.304208728,C#N,0,G1,A,None,None,Uncharged
A-4353,-1.231545685,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C(C=C1)N=NC1=CC=C(C=C1)N=NC1=CC=C(C=CC2=CC=C(C=C2S([O-])(=O)=O)N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=C1)S([O-])(=O)=O.[O-]S(=O)(=O)C1=CC=C(C=C1)N=NC1=CC=C(C=C1)N=NC1=CC=C(C=CC2=CC=C(C=C2S([O-])(=O)=O)N=NC2=CC=C(C=CC3=CC=C(C=C3S([O-])(=O)=O)N=NC3=CC=C(C=C3)N=NC3=CC=C(C=C3)S([O-])(=O)=O)C(=C2)S([O-])(=O)=O)C(=C1)S([O-])(=O)=O,0,G1,A,None,Multi-constituent Substances,Zwitterion
A-4356,-0.032126941,OC(C([O-])=O)C1=CC=CC=C1,0.077872061,G5,A,multi-constituent,Non Valid pH,Negative
A-4359,0.03847382,CC1(C)NC(=O)NC1=O,0,G1,A,mono-constituent,None,Uncharged
A-4361,-0.887690427,OCCNC1=NC(NC2=CC=CC(=C2)S([O-])(=O)=O)=NC(NC2=CC=C(C=CC3=CC=C(NC4=NC(NCCO)=NC(NC5=CC=CC(=C5)S([O-])(=O)=O)=N4)C=C3S([O-])(=O)=O)C(=C2)S([O-])(=O)=O)=N1,0,G1,A,mono-constituent,Non Valid pH,Negative
A-4364,-1.026923058,[O-]P([O-])(=O)C1=CC=CC=C1,0.597848971,G4,A,mono-constituent,None,Negative
A-4367,-1.491314993,CC1=NN(C(=O)C1N=NC1=CC=CC=C1C([O-])=O)C1=CC=C(C=C1)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4371,-1.38103092,[O-]S(=O)(=O)C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1,0,G1,A,mono-constituent,None,Negative
A-4372,-1.463069491,CCCCCCCCCC1=CC=CC=C1O,0,G1,A,None,Cosolvent Buffer,Uncharged
A-4374,-1.450561375,CCN(CC)C1=CC=C2C=C(C3=[N+](C)C4=CC=CC=C4N3C)C(=O)OC2=C1,0,G1,A,mono-constituent,None,Positive
A-4376,-0.851479539,CC(C)CC(C)=O,0.285318383,G5,A,mono-constituent,Non Valid pH,Uncharged
A-4377,-0.944324013,COC1=CC=CC=C1N,0.022887994,G3,A,mono-constituent,None,Uncharged
A-4379,-1.053070208,C=COCCOCCOC=C,0,G1,A,mono-constituent,None,Uncharged
A-4383,-0.752029987,CN(C1=CC=C2C(=C1)C=C(C(=NNC1=CC=CC=C1S([O-])(=O)=O)C2=O)S([O-])(=O)=O)C1=NC(Cl)=NC(NC2=CC=CC(=C2)S([O-])(=O)=O)=N1,0,G1,A,mono-constituent,None,Negative
A-4386,0.866122887,[O-][N+]([O-])=O,0,G1,A,mono-constituent,None,Negative
A-4392,1.28788965,N1C=CC=N1,0.916544825,G2,A,mono-constituent,None,Uncharged
A-4393,-0.573145985,CCN(CC[N+](C)(C)CC(C)O)C1=CC=C(C=C1)N=NC1=CC=C(C=C1Cl)[N+]([O-])=O,0,G1,A,mono-constituent,Cosolvent Buffer,Positive
A-4394,-0.551894305,CCN(CC[N+](C)(C)CC(C)O)C1=CC=C(C=C1)N=NC1=CC=C(C=C1Cl)[N+]([O-])=O,0,G1,A,mono-constituent,Non Valid pH,Positive
A-4395,-0.384250204,[O-]C(=O)C1CCC(=O)N1,0,G1,A,mono-constituent,None,Negative
A-4396,-0.714875651,COC1=CC(=CC=C1NC(=O)NC1=CC=C(C=C1OC)N=NC1=CC=CC(=C1)S([O-])(=O)=O)N=NC1=CC=CC(=C1)S([O-])(=O)=O,0,G1,A,mono-constituent,Non Valid pH,Negative
A-4400,-0.044931546,CC(CO)OC(=O)C(C)=C,0,G1,A,None,None,Uncharged
A-4401,-1.114155449,CC1=CC=C2OCC(=O)COC2=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4402,-1.2184149,CCOC(=O)C1=CC=NC(=C1)C(=O)OCC,0,G1,A,mono-constituent,None,Uncharged
A-4404,-1.887960137,OCCN(CCO)C1=NC(NC2=CC=C(C=CC3=CC=C(NC4=NC(=NC(NC5=CC=CC=C5)=N4)N(CCO)CCO)C=C3S([O-])(=O)=O)C(=C2)S([O-])(=O)=O)=NC(NC2=CC=CC=C2)=N1,0,G1,A,mono-constituent,None,Negative
A-4405,-1.091532091,CC(C)(O)C(=O)C1=CC=CC=C1,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4406,-1.09999437,CC1=CCC2C(C1)C(=O)OC2=O,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4407,-1.237789285,CCCCC(CC)CO,1.673028483,G2,A,None,Cosolvent Buffer,Uncharged
A-4411,-0.821231264,CCC(C)C=O,0,G1,A,mono-constituent,None,Uncharged
A-4412,-1.082666634,CC(C)CN(CC(C)C)C=O,0,G1,A,mono-constituent,None,Uncharged
A-4414,-1.183120855,CN1C(=O)N(C)C(=O)C(NC=O)=C1N,0,G1,A,mono-constituent,None,Uncharged
A-4415,-0.800434395,CCN(C1=CC=CC=C1)C1=NC(Cl)=NC(NC2=CC(=CC3=C2C(=O)C(=NNC2=CC=C(C)C=C2S([O-])(=O)=O)C(=C3)S([O-])(=O)=O)S([O-])(=O)=O)=N1,0,G1,A,mono-constituent,None,Negative
A-4416,0.049756882,C=CCOCC1CO1,0.019459033,G3,A,mono-constituent,None,Uncharged
A-4423,-0.144823593,CCOC(=O)CC1(C)OCCO1,0,G1,A,mono-constituent,None,Uncharged
A-4424,-0.909479678,COC1=CC(=CC=C1NN=C1C(=O)C2=C(O)C=C(C=C2C=C1S([O-])(=O)=O)S([O-])(=O)=O)N(O)N=C1C=CC(=NN=C2C(=O)C3=C(O)C=C(C=C3C=C2S([O-])(=O)=O)S([O-])(=O)=O)C(OC)=C1,0,G1,A,None,None,Negative
A-4426,-0.046573827,[O-][V](=O)=O,0,G1,A,mono-constituent,Non Valid pH,Negative
A-4427,0.947184106,[La],0,G1,A,mono-constituent,Cosolvent Buffer,Uncharged
A-4428,-0.913801018,NC1=C(N=NC2=CC=C(C=C2)S(=O)(=O)CCOS([O-])(=O)=O)C(=CC2=C1C(=O)C(=NNC1=CC(NC3=NC(F)=NC(F)=C3Cl)=CC=C1S([O-])(=O)=O)C(=C2)S([O-])(=O)=O)S([O-])(=O)=O,0,G1,A,None,None,Negative
A-4429,-0.903187957,[O-]S(=O)(=O)OCCS(=O)(=O)C1=CC=C(NN=C2C(=O)C3=C(NC4=NC(Cl)=NC(NC5=CC=CC(=C5)S([O-])(=O)=O)=N4)C=C(C=C3C=C2S([O-])(=O)=O)S([O-])(=O)=O)C=C1,0,G1,A,mono-constituent,None,Negative
A-4430,-0.075223164,COC(=O)CCC(=O)OC,0.335214515,G5,A,mono-constituent,Non Valid pH,Uncharged
A-4433,-1.34010886,O=C(OCC1CO1)C1CC=CCC1C(=O)OCC1CO1,0,G1,A,mono-constituent,None,Uncharged
A-4434,-1.266527042,CC(O)=CC(C)=O,0,G1,A,None,None,Uncharged
A-4435,-1.6785332,NC1=CC=C2C=C(C=C([O-])C2=C1N=NC1=CC=C(NC(=O)C(Br)=C)C=C1S([O-])(=O)=O)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4436,-1.023516095,OC1=CC=C(C=C1O)C#N,0.021004572,G3,A,mono-constituent,None,Uncharged
A-4437,-1.41863926,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4438,-1.141273025,NC1=CC=C(C=C1)S([O-])(=O)=O,0.036160805,G5,A,mono-constituent,None,Negative
A-4439,-0.903788639,COC1CCCC1,0,G1,A,mono-constituent,None,Uncharged
A-4440,-1.181216395,NC1=CC=C(C=C1N)S([O-])(=O)=O,0,G1,A,mono-constituent,None,Negative
A-4442,-1.000451858,ON=CC1=NC=CC=C1,0,G1,A,mono-constituent,None,Uncharged
A-4444,-1.093091418,O=C1NC(=O)C2CC=CCC12,0,G1,A,mono-constituent,Non Valid pH,Uncharged
A-4445,-1.061358221,CC1=CC(=O)CC(C)(C)C1,0.041093378,G3,A,mono-constituent,None,Uncharged
A-4446,-0.950835248,CC1=CC=CC(N)=C1,0.088613646,G5,A,mono-constituent,None,Uncharged
A-4449,-0.698476149,CCN(CC)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(CC)CC)C1=C(C=CC2=CC=C(C=C12)S([O-])(=O)=O)S([O-])(=O)=O,0,G1,A,None,None,Negative
A-4450,0.126659691,CCC(C)(C)O,0.027049225,G5,A,None,None,Uncharged
A-4451,0.607411262,[O-][N+]([O-])=O,0,G1,A,None,None,Negative
A-4453,0.188516266,NC(N)=S,0.102251454,G5,A,None,None,Uncharged
A-4456,-0.890086508,[O-]S(=O)(=O)C1=CC(NC(=O)C2=CC=CC=C2)=C2C(=C1)C=C(C(=NNC1=C(C3=CC=CC(CNC4=NC(F)=NC(F)=C4Cl)=C3C=C1)S([O-])(=O)=O)C2=O)S([O-])(=O)=O,0,G1,A,None,None,Negative
A-4458,1.003488328,OC1=CC(O)=CC=C1,0.132434594,G5,A,None,None,Uncharged
A-4459,-0.486149552,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,0,G1,A,None,None,Positive
A-4461,-0.199755177,CCC(CO)(CO)COCC=C,0,G1,A,None,None,Uncharged
A-4462,-0.07654115,CSCCC(O)C#N,0,G1,A,None,None,Uncharged
A-4463,0.116503747,CC(C)=CC=O,0,G1,A,None,None,Uncharged
A-4464,0.662123436,[Li+].O,0.18434784,G5,A,None,None,Positive
A-4465,-1.036597924,CC(C)CC(C)(O)C#C,0,G1,A,None,None,Uncharged
A-4466,-0.977550168,O=CC1CCC=CC1,0,G1,A,None,None,Uncharged
A-4468,-1.048661639,O=C1[CH-]C(=O)[N-]C(=O)N1,0.11745648,G3,A,None,None,Negative
A-4470,-1.082442195,OCCCCCCCl,0,G1,A,None,None,Uncharged
A-4471,-1.081092287,N#CCCCCCCC#N,0,G1,A,None,None,Uncharged
A-4472,-1.364029386,CC(C)C1(C)N=C(NC1=O)C1=NC=CC=C1C([O-])=O,0,G1,A,None,None,Negative
